State,Value
14857.0,0.9
1735.0,-0.7290000000000001
16801.0,0.0
3679.0,0.0
12427.0,0.9
8053.0,-0.7290000000000001
1492.0,0.7290000000000001
17854.0,1.0
18340.0,1.0
17611.0,0.9
4489.0,0.81
18502.0,1.0
17773.0,0.9
4651.0,-0.9
5137.0,1.0
10969.0,-0.9
4408.0,0.9
13237.0,0.81
13399.0,0.81
13885.0,1.0
15343.0,0.0
13156.0,0.9
34.0,0.6561000000000001
12067.0,1.0
5506.0,0.9
16441.0,0.0
14254.0,0.0
1132.0,0.0
10609.0,1.0
4048.0,0.9
15712.0,0.0
2590.0,0.0
6964.0,1.0
403.0,0.9
17116.0,0.9
3994.0,0.81
8368.0,1.0
1807.0,0.9
18601.0,1.0
18574.0,0.9
5452.0,0.81
11284.0,1.0
4723.0,0.9
14200.0,0.0
15658.0,0.0
13471.0,0.9
349.0,0.81
10123.0,1.0
3562.0,0.9
16198.0,0.0
3076.0,0.0
7450.0,1.0
889.0,0.9
16630.0,-1.0
3508.0,-0.9
7882.0,1.0
1321.0,0.9
11770.0,1.0
5209.0,0.9
16144.0,-0.9
13957.0,0.9
835.0,0.81
8908.0,1.0
2347.0,0.9
9340.0,1.0
2779.0,0.9
10312.0,1.0
3751.0,0.9
15415.0,0.0
2293.0,0.0
6667.0,1.0
106.0,0.9
17152.0,0.0
4030.0,0.0
8404.0,1.0
1843.0,0.9
18610.0,0.9
5488.0,0.81
11320.0,1.0
4759.0,0.9
14236.0,0.0
15694.0,0.0
13507.0,0.0
385.0,0.0
16666.0,0.9
3544.0,0.81
7918.0,1.0
1357.0,0.9
11806.0,1.0
5245.0,0.9
16180.0,0.0
13993.0,0.9
871.0,0.81
9376.0,1.0
2815.0,0.9
10348.0,1.0
3787.0,0.9
15451.0,0.0
2329.0,0.0
6703.0,1.0
142.0,0.9
12238.0,1.0
5677.0,0.9
16612.0,-0.9
14425.0,0.9
1303.0,0.81
10780.0,1.0
4219.0,0.9
15883.0,0.0
2761.0,0.0
7135.0,1.0
574.0,0.9
12724.0,1.0
6163.0,0.9
17098.0,0.0
14911.0,0.9
1789.0,0.81
16855.0,0.0
3733.0,0.0
8107.0,1.0
1546.0,0.9
18556.0,0.81
17827.0,0.9
4705.0,0.81
18313.0,0.9
5191.0,0.81
11023.0,1.0
4462.0,0.9
13453.0,0.0
13939.0,0.81
15397.0,0.0
13210.0,0.7290000000000001
88.0,0.6561000000000001
9961.0,1.0
3400.0,0.9
16360.0,0.0
3238.0,0.0
7774.0,0.9
11986.0,0.9
7612.0,0.81
1051.0,0.7290000000000001
16468.0,0.9
3346.0,0.81
12094.0,-1.0
7720.0,-0.9
1159.0,0.9
11932.0,-0.9
5371.0,0.9
16306.0,0.0
14119.0,0.9
997.0,0.6561000000000001
9232.0,0.9
10528.0,0.9
9070.0,0.81
2509.0,0.7290000000000001
10636.0,-1.0
9178.0,-0.9
2617.0,0.7290000000000001
10474.0,-0.9
3913.0,0.7290000000000001
15577.0,0.7290000000000001
2455.0,0.6561000000000001
6883.0,0.9
6991.0,-0.81
8287.0,0.9
11203.0,0.9
6829.0,-0.7290000000000001
268.0,0.7290000000000001
16504.0,0.0
3382.0,0.0
12130.0,-1.0
7756.0,-0.9
1195.0,0.0
11968.0,-0.9
