State,Value
11155,10
6781,-10
220,10
553,10
2092,10
4270,10
8644,10
2083,10
5008,10
18859,10
18850,10
5728,10
11560,10
4999,10
13756,10
14476,-10
15934,10
13747,10
625,10
5656,10
12208,-10
5647,10
14404,10
16582,-10
14395,10
1273,-10
4198,10
10750,-10
4189,10
15862,10
15853,10
2731,-10
8572,10
8563,10
11488,10
11479,10
7105,-10
544,10
1525,10
5980,10
19336,-10
6214,-10
12532,10
5971,10
14728,10
14962,-10
16906,10
14719,10
1597,10
6142,10
12694,10
6133,10
14890,10
17068,10
14881,10
1759,10
16834,10
16825,10
3703,10
12460,10
12451,10
8077,10
1516,10
4441,10
17644,10
17878,-10
18364,0
17635,10
4513,10
17806,10
18526,0
17797,10
4675,0
18292,10
18283,10
5161,0
10993,10
4432,10
13189,10
13261,10
13423,0
13909,0
15367,10
13180,10
58,10
17236,10
4114,10
8488,10
1927,10
18694,10
5572,-10
11404,10
4843,10
14320,0
15778,0
13591,10
469,10
1441,-10
12376,-10
11890,-10
5329,10
16750,-10
16264,-10
14077,10
955,-10
2899,-10
10918,-10
10432,-10
3871,10
15535,10
2413,-10
7273,-10
8245,10
11161,10
6787,-10
226,10
17401,10
17398,10
4276,10
8650,10
2089,10
5734,10
11566,10
5005,10
14482,10
15940,10
13753,10
631,10
12214,-10
5653,10
16588,-10
14401,10
1279,-10
10756,-10
4195,10
15859,10
2737,-10
8569,10
11485,10
7111,-10
550,10
19342,-10
6220,-10
12538,10
5977,10
14968,-10
16912,0
14725,10
1603,10
12700,10
6139,10
17074,0
14887,10
1765,10
16831,10
3709,10
12457,10
8083,10
1522,10
17884,-10
18370,10
17641,10
4519,10
18532,10
17803,10
4681,10
18289,10
5167,10
10999,10
4438,10
13267,10
13429,0
13915,10
15373,0
13186,10
64,10
12286,10
5725,10
16660,-10
14473,10
1351,10
10828,10
4267,10
15931,10
2809,10
7183,10
622,10
12772,10
6211,10
17146,0
14959,0
1837,0
16903,10
3781,10
8155,10
1594,10
18604,0
17875,0
4753,0
18361,10
5239,10
11071,10
4510,10
13501,0
13987,0
15445,0
13258,10
136,10
12124,-10
5563,0
16498,0
14311,0
1189,0
10666,-10
4105,10
15769,0
2647,0
8479,10
11395,10
7021,0
460,10
17065,10
3943,10
12691,10
8317,10
1756,10
18523,10
5401,0
11233,10
4672,10
14149,0
15607,0
13420,0
298,0
3619,-10
16255,0
3133,-10
7993,-10
11881,-10
7507,-10
946,0
16579,-10
3457,-10
12205,10
7831,-10
1270,10
11719,-10
5158,10
16093,-10
13906,10
784,0
9451,-10
10423,-10
8965,-10
2404,0
10747,10
9289,-10
2728,10
10261,-10
3700,10
15364,10
2242,0
6778,0
7102,10
8074,10
10990,10
6616,0
55,10
661,10
2146,10
17455,10
17446,10
4324,-10
13081,10
13072,10
8698,-10
2137,10
5062,10
5782,10
11614,10
5053,10
13810,10
14530,10
15988,-10
13801,10
679,10
5764,10
12316,-10
5755,10
14512,10
16690,-10
14503,10
1381,-10
4306,10
10858,-10
4297,10
15970,10
15961,10
2839,-10
8680,10
8671,10
11596,10
11587,10
7213,-10
652,10
1633,10
6034,10
19390,-10
6268,-10
12586,-10
6025,10
14782,10
15016,-10
16960,-10
14773,10
1651,-10
6250,10
12802,-10
6241,10
14998,10
17176,-10
14989,10
1867,-10
16942,10
16933,10
3811,-10
12568,10
12559,10
8185,-10
1624,10
4549,10
17698,10
17932,-10
18418,10
17689,10
4567,10
17914,10
18634,10
17905,10
4783,0
18400,10
18391,10
5269,10
11101,0
4540,10
13297,10
13315,10
13531,0
14017,10
15475,-10
13288,10
166,0
17452,10
4330,0
13078,10
8704,0
2143,10
5788,10
11620,-10
5059,10
14536,10
15994,10
13807,10
685,10
12322,-10
5761,10
16696,-10
14509,10
1387,-10
10864,-10
4303,10
15967,10
2845,-10
8677,10
11593,10
7219,-10
658,10
19396,-10
6274,-10
12592,-10
6031,10
15022,-10
16966,0
14779,10
